   60
HE+ 0/H + 1  24/P=4.000D+00/S=1.000D+00/A=4.731D+00/E=0.000D+00/T=CX /ISEL=    1
 5.000D+02 7.000D+02 1.000D+03 1.500D+03 2.000D+03 3.000D+03
 4.000D+03 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04
 3.000D+04 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05
 2.000D+05 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06
 2.200D-20 6.300D-20 2.050D-19 7.500D-19 2.000D-18 7.100D-18
 1.900D-17 3.400D-17 6.950D-17 1.140D-16 1.570D-16 1.780D-16
 1.700D-16 1.390D-16 1.070D-16 6.200D-17 2.700D-17 8.900D-18
 3.280D-18 8.200D-19 2.500D-19 8.700D-20 2.000D-20 3.700D-21   
HE+ 0/H + 1  24/P=4.000D+00/S=1.000D+00/A=4.731D+00/E=0.000D+00/T=CX /ISEL=    2
 5.000D+02 7.000D+02 1.000D+03 1.500D+03 2.000D+03 3.000D+03
 4.000D+03 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04
 3.000D+04 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05
 2.000D+05 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06
 2.090D-18 2.820D-18 4.050D-18 6.350D-18 8.700D-18 1.430D-17
 2.200D-17 3.550D-17 6.950D-17 1.140D-16 1.570D-16 1.780D-16
 1.700D-16 1.390D-16 1.070D-16 6.200D-17 2.700D-17 8.900D-18
 3.280D-18 8.200D-19 2.500D-19 8.700D-20 2.000D-20 3.700D-21
HE+ 0/H + 1  24/P=4.000D+00/S=1.000D+00/A=4.731D+00/E=0.000D+00/T=CX /ISEL=    3
 5.000D+02 7.000D+02 1.000D+03 1.500D+03 2.000D+03 3.000D+03
 4.000D+03 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04
 3.000D+04 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05
 2.000D+05 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06
 2.090D-18 2.820D-18 4.050D-18 6.350D-18 8.700D-18 1.430D-17
 2.130D-17 3.120D-17 6.700D-17 1.210D-16 1.690D-16 1.830D-16
 1.740D-16 1.440D-16 1.070D-16 6.200D-17 2.700D-17 8.900D-18
 3.280D-18 8.200D-19 2.500D-19 8.700D-20 2.000D-20 3.700D-21    
HE+ 0/H + 1  22/P=4.000D+00/S=1.000D+00/A=4.731D+00/E=0.000D+00/T=CX /ISEL=    4
 2.500D+02 3.000D+02 4.000D+02 5.000D+02 7.000D+02 1.000D+03
 2.000D+03 3.000D+03 3.600D+03 5.000D+03 8.000D+03 1.000D+04
 1.500D+04 3.000D+04 5.000D+04 8.000D+04 1.500D+05 2.000D+05
 3.000D+05 4.000D+05 5.000D+05 5.600D+05 
 2.238D-16 3.044D-16 4.847D-16 6.906D-16 1.145D-15 1.790D-15
 4.195D-15 5.448D-15 5.563D-15 5.205D-15 3.427D-15 2.302D-15
 9.617D-16 1.020D-16 3.632D-17 2.263D-17 1.116D-17 6.663D-18
 2.404D-18 9.169D-19 3.747D-19 2.583D-19 
HE+ 0/HE+ 2  24/P=4.000D+00/S=4.000D+00/A=4.699D+00/E=0.000D+00/T=CX /ISEL=    5
 5.000D+02 7.000D+02 1.000D+03 1.500D+03 2.000D+03 3.000D+03
 4.000D+03 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04
 3.000D+04 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05
 2.000D+05 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06
 3.470D-17 3.400D-17 3.480D-17 3.620D-17 3.820D-17 4.450D-17
 5.200D-17 6.050D-17 8.000D-17 1.120D-16 1.650D-16 2.050D-16
 2.530D-16 2.550D-16 2.300D-16 1.710D-16 1.150D-16 5.750D-17
 2.750D-17 7.600D-18 3.000D-18 1.280D-18 3.100D-19 5.800D-20    
HE+ 0/HE+ 2  24/P=4.000D+00/S=4.000D+00/A=4.699D+00/E=0.000D+00/T=CX /ISEL=    6
 5.000D+02 7.000D+02 1.000D+03 1.500D+03 2.000D+03 3.000D+03
 4.000D+03 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04
 3.000D+04 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05
 2.000D+05 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06
 3.470D-17 3.490D-17 3.570D-17 3.850D-17 4.280D-17 5.310D-17
 6.650D-17 8.200D-17 1.140D-16 1.540D-16 1.930D-16 2.160D-16
 2.400D-16 2.380D-16 2.250D-16 1.720D-16 1.150D-16 5.750D-17
 2.750D-17 7.600D-18 3.000D-18 1.280D-18 3.100D-19 5.800D-20   
HE+ 0/HE+ 2  22/P=4.000D+00/S=4.000D+00/A=4.699D+00/E=0.000D+00/T=CX /ISEL=    7
 1.000D+02 2.000D+02 4.000D+02 7.000D+02 1.000D+03 2.000D+03
 4.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04 3.000D+04
 5.000D+04 7.000D+04 1.000D+05 1.500D+05 2.000D+05 2.500D+05
 3.000D+05 4.000D+05 5.000D+05 5.900D+05 0.000D+00 0.000D+00
 5.396D-15 8.887D-15 1.233D-14 1.419D-14 1.471D-14 1.458D-14
 1.355D-14 1.183D-14 9.450D-15 5.767D-15 2.864D-15 8.568D-16
 2.698D-16 1.829D-16 1.224D-16 7.404D-17 4.885D-17 2.967D-17
 1.765D-17 6.611D-18 2.890D-18 1.547D-18 0.000D+00 0.0000+00   
HE+ 0/BE+ 4  24/P=4.000D+00/S=9.000D+00/A=4.288D+00/E=0.000D+00/T=CX /ISEL=    8
 5.000D+02 7.000D+02 1.000D+03 1.500D+03 2.000D+03 3.000D+03
 4.000D+03 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04
 3.000D+04 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05
 2.000D+05 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06
 2.440D-16 2.960D-16 3.600D-16 4.400D-16 5.000D-16 5.880D-16
 6.500D-16 7.000D-16 7.700D-16 8.450D-16 9.200D-16 9.550D-16
 9.800D-16 9.650D-16 9.400D-16 8.600D-16 6.700D-16 4.000D-16
 2.350D-16 7.450D-17 2.780D-17 1.350D-17 3.600D-18 7.800D-19
HE+ 0/BE+ 4  24/P=4.000D+00/S=9.000D+00/A=4.288D+00/E=0.000D+00/T=CX /ISEL=    9
