   10    /Li  IONISATION RATE COEFFICIENTS   /
Li+ 2/Li+ 3/   24/I.P. =           987779.2/ICODE =  1/FCODE =  1/ISEL =  1
 1.350E+00 1.800E+00 2.700E+00 3.600E+00 4.500E+00 6.300E+00
 9.000E+00 1.350E+01 1.800E+01 2.700E+01 3.600E+01 4.500E+01
 6.300E+01 9.000E+01 1.350E+02 1.800E+02 2.700E+02 3.600E+02
 4.500E+02 6.300E+02 9.000E+02 1.800E+03 4.500E+03 9.000E+03
 3.172E-50 3.412E-40 3.739E-30 3.993E-25 4.216E-22 1.236E-18
 5.116E-16 5.824E-14 6.416E-13 7.376E-12 2.573E-11 5.530E-11
 1.354E-10 2.707E-10 4.719E-10 6.267E-10 8.318E-10 9.533E-10
 1.029E-09 1.109E-09 1.150E-09 1.123E-09 9.560E-10 7.953E-10
Li+ 2/Li+ 3/   24/I.P. =           246965.0/ICODE =  2/FCODE =  1/ISEL =  2
 1.350E+00 1.800E+00 2.700E+00 3.600E+00 4.500E+00 6.300E+00
 9.000E+00 1.350E+01 1.800E+01 2.700E+01 3.600E+01 4.500E+01
 6.300E+01 9.000E+01 1.350E+02 1.800E+02 2.700E+02 3.600E+02
 4.500E+02 6.300E+02 9.000E+02 1.800E+03 4.500E+03 9.000E+03
 4.457E-19 1.514E-16 5.336E-14 1.028E-12 6.151E-12 4.856E-11
 2.343E-10 8.161E-10 1.540E-09 2.933E-09 4.054E-09 4.916E-09
 6.092E-09 7.067E-09 7.766E-09 7.998E-09 8.005E-09 7.826E-09
 7.606E-09 7.177E-09 6.640E-09 5.503E-09 4.081E-09 3.176E-09
Li+ 2/Li+ 3/   24/I.P. =           246965.0/ICODE =  3/FCODE =  1/ISEL =  3
 1.350E+00 1.800E+00 2.700E+00 3.600E+00 4.500E+00 6.300E+00
 9.000E+00 1.350E+01 1.800E+01 2.700E+01 3.600E+01 4.500E+01
 6.300E+01 9.000E+01 1.350E+02 1.800E+02 2.700E+02 3.600E+02
 4.500E+02 6.300E+02 9.000E+02 1.800E+03 4.500E+03 9.000E+03
 5.701E-19 1.933E-16 6.781E-14 1.300E-12 7.748E-12 6.069E-11
 2.898E-10 9.953E-10 1.858E-09 3.480E-09 4.752E-09 5.709E-09
 6.977E-09 7.978E-09 8.628E-09 8.790E-09 8.667E-09 8.385E-09
 8.085E-09 7.541E-09 6.891E-09 5.581E-09 4.021E-09 3.065E-09
Li+ 2/Li+ 3/   24/I.P. =           109771.2/ICODE =  4/FCODE =  1/ISEL =  4
 1.350E+00 1.800E+00 2.700E+00 3.600E+00 4.500E+00 6.300E+00
