   26    /FE  IONISATION RATE COEFFICIENTS   /
FE+ 0/FE+ 1/   24/I.P. =           866924.8/ICODE =  1/FCODE =  0/ISEL=   1
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 5.000D+03 7.000D+03 1.000D+04
 2.052D-11 1.661D-09 7.521D-09 1.626D-08 2.604D-08 4.517D-08
 6.913D-08 9.729D-08 1.159D-07 1.381D-07 1.577D-07 1.652D-07
 1.685D-07 1.672D-07 1.634D-07 1.552D-07 1.479D-07 1.416D-07
 1.315D-07 1.203D-07 9.872D-08 7.306D-08 6.486D-08 5.696D-08
FE+ 1/FE+ 2/   24/I.P. =          1775549.7/ICODE =  1/FCODE =  0/ISEL=   2
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 5.000D+03 7.000D+03 1.000D+04
 1.682D-15 7.021D-12 1.210D-10 5.153D-10 1.246D-09 3.492D-09
 7.764D-09 1.494D-08 2.120D-08 3.102D-08 4.379D-08 5.164D-08
 5.887D-08 6.519D-08 6.825D-08 7.048D-08 7.065D-08 7.006D-08
 6.816D-08 6.508D-08 5.712D-08 4.520D-08 4.094D-08 3.663D-08
FE+ 2/FE+ 3/   24/I.P. =          3813371.6/ICODE =  1/FCODE =  0/ISEL=   3
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 5.000D+03 7.000D+03 1.000D+04
 2.077D-23 4.689D-16 1.582D-13 3.092D-12 1.885D-11 1.534D-10
 7.658D-10 2.801D-09 5.540D-09 1.150D-08 2.218D-08 3.052D-08
 3.970D-08 4.957D-08 5.564D-08 6.231D-08 6.548D-08 6.704D-08
 6.796D-08 6.728D-08 6.232D-08 5.184D-08 4.763D-08 4.320D-08
FE+ 3/FE+ 4/   24/I.P. =          5897283.2/ICODE =  1/FCODE =  0/ISEL=   4
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
